Estado,Coherencia promedio Canal C3 ,Coherencia promedio Canal C1 ,Coherencia promedio Canal CZ ,Coherencia promedio Canal C2 ,Coherencia promedio Canal C4 ,Coherencia promedio Canal O1 ,Coherencia promedio Canal OZ ,Coherencia promedio Canal O2 
control,14.849171333110817,17.307492711443196,17.74902742280718,17.04989656671622,14.943771754915382,17.36684286519998,18.955046633094533,17.07095927439679
control,16.92465264015302,21.03254241227166,22.42257904713674,21.30009997510895,17.725120765192248,21.9307609787812,23.546733029890706,21.9949916280118
control,21.31540911122007,22.923319885236566,22.315416091098406,21.71469080641153,22.282867609712046,19.00751648539559,21.13548880587573,20.35106495277819
control,16.192948835138367,20.066584014407606,20.504994227427687,19.728608392307358,15.033686138485574,19.948875493926764,21.382135140396514,20.130073528010122
control,17.04670898917473,20.125906605809494,20.882691165295984,18.974739544858885,15.526267376536534,19.430396442868414,21.188881254450045,19.242761374791037
control,14.434535880294689,16.80558610443312,17.624163625259683,17.224124014391077,14.714975715788643,17.262719014096692,18.479665658029756,17.576158396269243
control,16.04417439389978,21.123502964978332,22.29113414639875,21.362897389590323,15.557636026545328,22.33168183733396,19.356609947437263,21.242209921545538
control,15.294404289289197,17.455201121266263,17.75740042664492,17.505602441488662,15.010700798478688,16.630841115708158,18.830166632054926,17.103222542068412
control,16.998915244106737,22.478265649926325,23.486354837664948,22.31479957108452,18.072323380156895,21.175420900084738,22.817476552016686,21.208135630474175
control,18.935017193040274,21.52078252711091,23.00442099732821,21.14582532908925,16.57929641183352,21.697229687711314,23.37902154053939,22.442920217860767
control,16.452023586635434,19.78770454352806,21.41619557743077,20.016217387085035,15.892099106328915,19.316858861191413,20.947330531416792,19.207747297286822
control,16.368733894804926,20.693436431592726,19.975608383548426,20.934407515968882,17.35821131379745,20.318878505577985,22.11809289724631,19.881940558417675
control,15.955546293792036,20.4114455517653,21.507269511887074,20.335416344469643,17.0259406210091,20.336419214637104,20.07715024500044,20.346641362882657
control,16.921454556762004,20.09181377988535,22.27213025735019,20.470879207154606,16.59489340117842,20.214704074695312,21.894980898533753,20.285453340619572
control,19.39725533908361,23.363950817483758,24.984829929926455,22.78533680128207,17.337532834022255,23.51373498154556,24.88735726776051,22.69881951298618
control,16.87242250397444,20.878435538040343,21.46870961733422,20.224039285363258,14.975595114307547,20.528302694911922,21.674776971454257,18.598124380215282
control,17.12086850832425,21.57458353797709,23.00946897337502,21.58576616028194,17.473294875883248,23.347307007254912,24.572870641727448,22.973592138496166
control,16.15765763228488,20.67845154922265,22.02452149849566,20.237014867730934,16.79826021091539,20.508959005632615,22.373049088825937,20.541005261492568
control,15.91777190399268,19.754786218670272,21.702308233209713,19.927465985003174,16.046967128917778,19.628293204601057,21.840601449133317,20.23833074418605
control,13.32190109761631,16.649874044270806,18.178374580784872,18.316387173960575,15.360999458760459,16.158000820606055,15.10348855393345,15.409885828936048
control,15.276624214303425,18.307737256993434,19.449556129332322,18.76566819777647,15.597626147384066,18.20351908122499,20.295794611074836,18.85780735701187
control,17.08033991579063,20.592857333195262,21.73301863068405,19.44983441770001,14.224704531130143,18.903527680567176,21.04158815996651,19.846414413473937
control,20.03734002451457,22.904618327052255,25.03127485622897,21.330448821076974,15.090049870941703,23.824392104937864,25.122625321316683,24.661003720983757
control,16.142084940778908,19.994365988575776,21.677479250477237,19.344049043345983,16.376324414735173,20.857008486617666,22.113999249990357,21.05094716167192
control,16.094318131199195,18.113984347536455,19.599104744031223,18.27429672937628,15.356393655913498,19.534810676043293,18.50437431535348,17.495344294461177
control,14.484052066231015,17.38010579939808,17.980015484772412,16.99314847830473,13.88052780635622,15.927327205984714,16.874587078857125,16.422635279632868
control,17.324280407531482,21.667753762731415,23.2593977553553,21.952315837977892,18.54921097044407,21.92245949936261,23.059638766147877,22.01034809804471
control,12.925021228575348,15.52721237137764,22.24575472128483,18.556575245083295,13.524387445691996,19.213141830366098,17.274692460964317,19.061345667743794
control,15.862759156590437,15.977283858864388,14.388988545377977,15.526169396882217,15.245371924362873,17.17356132577779,16.393809494759555,15.371437157416562
control,15.013152454945262,19.324471998644757,20.764444220670757,20.120854432704256,15.30784361111908,20.26080287200728,19.055742723852543,20.179865473907224
control,14.293724991432374,12.642846100089042,14.649354776866616,17.36075858842085,16.214023726893096,15.833383153967624,16.451891751335864,14.652141100555244
control,17.23688471654891,22.78827358543873,24.834368118686157,23.26707146996652,19.02564993750975,24.227054886657747,25.032308275890003,24.494121100586305
control,15.484917958329332,18.810423204261536,19.962650985485034,20.13746279694518,16.85335594838309,20.7996153337384,21.78962230961153,20.613965942945875
control,17.32185790075067,21.241403942575186,21.194684727554154,21.168847578019474,16.062938976299446,20.983187160313783,22.679208978948143,21.163356104039686
control,15.776083051766001,19.712270678803534,20.732737830703158,19.352744644644673,15.61591922337549,19.208666710764902,21.055555715441173,19.061942013957946
control,17.833479999655864,21.96395779097893,23.492872799188287,20.71961755066983,16.026251479734913,22.035401216612428,20.92160718814942,22.71935342128768
parkinson,15.624391446461516,19.15453199690021,20.484871147657877,19.037670227834553,14.821153246403584,18.78310294674624,20.55217059750078,18.67794457171189
parkinson,16.798782831932947,20.744306544204147,23.26134282664625,20.886220146063536,17.251760222386153,21.067765935035354,22.86542370955874,21.3196526578025
parkinson,16.663013626272836,17.724793724640104,19.134203105545716,18.947403523938956,17.423391509560908,19.44666001799587,19.768042662980314,18.627459603159565
parkinson,17.15032592153042,21.453255655031633,22.191712155801106,21.175224617201863,15.452553613974356,20.780118813027173,23.131954298483276,21.475297424821015
parkinson,16.541830778592384,20.898531467742373,21.449980279502224,20.88707218882459,16.587574991268774,20.152856091974904,21.647253595965914,19.77773458618527
parkinson,13.902432871141478,16.976312954379967,18.657766027166097,19.70799803975579,18.090522443670235,19.41885335269518,19.696910356503132,18.799393274991434
parkinson,16.27073652452831,20.326133984343656,21.20599472348891,20.004424356941684,15.530000946063382,19.645659155750707,21.177297551681704,19.898629187896212
parkinson,14.20513180035554,19.13969302697183,21.32740705705394,18.670270674349304,15.401482662102929,19.73408189740757,21.100625871566628,19.81499348758324
parkinson,17.806112269834145,21.35721518690331,21.94579793979138,20.111029938450304,14.484204196017899,19.84493225643537,21.963686475133485,22.309036536539
parkinson,16.008635213817787,19.116090097975643,20.14059099096539,18.981415279812367,15.868254250112507,18.918691940129925,20.094487810537014,18.761539027656557
parkinson,15.316804945861705,19.653757740080906,20.009188166801128,19.33500665841846,15.1990271944965,16.688140460549594,20.256505290569763,17.456392185226598
parkinson,17.901675412211354,22.149915628174703,23.1175804080353,22.2758773463979,16.915684861848902,21.68762844665652,22.577583714264975,22.32398365519093
parkinson,19.993632680591567,21.502935616097183,20.0270433733137,19.71666755387263,20.019987912411523,15.497334336326357,17.774135231103088,17.11523475650928
parkinson,16.54386568061517,19.310615873848803,20.16411134830735,19.281654532482804,16.081355587328318,19.220269409895884,20.275316571336276,20.41546375004185
parkinson,16.15226125378533,20.591737793430603,22.562762388251524,21.591252264266352,17.12432529238749,19.815334846785614,19.74903685126586,20.800608720717854
parkinson,18.27488420753705,21.93142228132865,23.178253864010173,21.572473457646485,16.93434106107685,21.429892578749133,22.8943988560131,22.23330531028823
parkinson,15.255812484098811,20.27324674442583,21.58184563463368,20.707417777707146,15.113975429772479,20.738931398610944,22.123260482860413,20.90289806391762
parkinson,16.102350719921475,19.694631852140265,22.0459996473942,20.125242038511914,16.527164822379373,20.398476218993356,21.84853707750546,19.786539015438073
parkinson,18.106269390659655,22.854766909010735,24.24186594452332,22.26175940315646,18.186350110500022,21.102991230968232,23.11349274518911,20.978728122019437
parkinson,15.777776332958755,19.83461110600544,21.77308914871004,20.3269245041529,16.350762387559783,19.926098153369153,21.491818254048702,19.227369578392352
parkinson,16.05595393250062,19.700091173984532,21.500728324718562,20.39905740885152,16.86932998226559,20.261216809398334,22.13036493243625,21.373371007785252
parkinson,15.976184277387285,20.228887375808462,20.101798448847667,19.719159825403274,14.459439944233637,20.207343073061637,21.508739362280856,20.420031206374034
parkinson,14.943131487847646,17.794105802082633,19.28735496658586,18.75329673900923,15.651962280991235,18.930549409935608,19.231291059333422,18.671069830693884
