Sumatoria PSD,Mediana PSD,Varianza,Estado del ciclo
4.553393978244005e-07,7.717616912277975e-09,5.597489675475853e-06,Ciclo normal
4.3413138398819287e-07,7.3581590506473365e-09,5.814283889162797e-06,Ciclo normal
3.933731002106398e-07,6.667340681536268e-09,5.458378803158522e-06,Ciclo normal
4.3318653911989404e-07,7.342144730845662e-09,5.697068478705965e-06,Ciclo normal
3.7394696099148867e-07,6.3380840846015024e-09,4.882029163548454e-06,Ciclo normal
9.990327794115074e-08,1.6932758973076397e-09,1.2146578092253221e-06,Ciclo normal
9.947784536839518e-08,1.6860651757355115e-09,1.1871195732510623e-06,Ciclo normal
9.49661951049861e-08,1.6095965272031542e-09,1.1065730793937731e-06,Ciclo normal
1.7089514248277694e-07,2.8965278386911348e-09,1.9504559340962185e-06,Ciclo normal
8.820257138838232e-08,1.4949588370912258e-09,1.0374497441667186e-06,Ciclo normal
1.0628038223657933e-07,1.80136241078948e-09,1.2414856236012243e-06,Ciclo normal
9.943127329277148e-08,1.6852758185215505e-09,1.1522673706017362e-06,Ciclo normal
1.444794438668976e-07,2.4488041333372474e-09,1.7119320126083513e-06,Ciclo normal
1.3227366961265716e-07,2.2419266036043585e-09,1.4848804332361615e-06,Ciclo normal
1.817101659882216e-07,3.0798333218342643e-09,2.2527923036649416e-06,Ciclo normal
1.0587289889575776e-06,1.7944559134874196e-08,1.248679960964148e-05,Ciclo normal
8.003990432599737e-07,1.3566085478982606e-08,9.901175985362324e-06,Ciclo normal
8.992498329435542e-07,1.524152259226363e-08,1.0835953884123325e-05,Ciclo normal
1.0301880313269575e-06,1.7460814090287416e-08,1.2479493669259482e-05,Ciclo normal
7.87609012548032e-07,1.3349305297424271e-08,9.807947798508994e-06,Ciclo normal
8.853340321103048e-07,1.5005661561191607e-08,1.0525103241394607e-05,Ciclo normal
8.346966236939551e-07,1.414740040159246e-08,1.0479390922844892e-05,Ciclo normal
7.831510906956597e-07,1.3273747299926436e-08,1.0115563787232486e-05,Ciclo normal
3.1267520815248176e-07,5.299579799194606e-09,3.6887908923406336e-06,Ciclo normal
2.5981084253929146e-07,4.4035736023608726e-09,3.0301717425931344e-06,Ciclo normal
2.2838536877963403e-07,3.870938453892102e-09,2.7292377365967395e-06,Ciclo normal
3.346007508234837e-07,5.6711991664997235e-09,3.882231112655778e-06,Ciclo normal
3.269071243234577e-07,5.54079871734674e-09,4.025188007222791e-06,Ciclo normal
6.564761100048321e-07,1.112671372889546e-08,7.978371671940777e-06,Ciclo normal
9.330689944452094e-07,1.581472871941033e-08,1.124401585652339e-05,Ciclo normal
5.948735078797928e-07,1.0082601828471066e-08,7.190658393176705e-06,Ciclo normal
5.554619267060021e-07,9.414608927220375e-09,7.072950078467146e-06,Ciclo normal
2.2553154865204766e-06,3.8225686212211466e-08,2.5940350396086016e-05,Ciclo normal
1.8114611548336569e-06,3.070273143785859e-08,2.0534097810735897e-05,Ciclo normal
1.5925773071913619e-06,2.6992835715107826e-08,1.946559222709243e-05,Ciclo normal
1.0201244458057378e-06,1.729024484416505e-08,1.247526756552621e-05,Ciclo normal
8.679629066345797e-07,1.4711235705670843e-08,1.0218105637819443e-05,Ciclo normal
3.78453483236584e-07,6.41446581756922e-09,4.4948583372602914e-06,Ciclo normal
9.852572407483805e-07,1.6699275266921705e-08,1.1925138984933214e-05,Ciclo normal
5.663798354146994e-07,9.599658227367787e-09,6.3828874075431515e-06,Ciclo normal
8.496521828296941e-07,1.4400884454740578e-08,9.968423099240944e-06,Ciclo normal
7.547436724414115e-07,1.2792265634600196e-08,9.255174652343554e-06,Ciclo normal
2.616227648549986e-07,4.434284150084722e-09,3.1951841829861762e-06,Ciclo normal
1.963345489238829e-07,3.3277042190488624e-09,2.3126286107337142e-06,Ciclo normal
1.4491373661692441e-05,2.4561650274054986e-07,0.0004421431325869099,Ciclo normal
1.5157934749446795e-05,2.569141482957084e-07,0.0004518927996453039,Ciclo normal
8.773740735407701e-06,1.4870747009165595e-07,0.0002743953427140064,Ciclo normal
7.863307969565905e-06,1.332764062638289e-07,0.0002235949348626213,Ciclo normal
8.946607286320297e-06,1.516374116325474e-07,0.0002829123575686761,Ciclo normal
1.0112195311034423e-05,1.7139314086499021e-07,0.00026981708255371776,Ciclo normal
5.25221450003805e-06,8.902058474640763e-08,0.0001659282866063156,Ciclo normal
2.3071280142258674e-06,3.910386464789606e-08,2.6149058146162672e-05,Ciclo normal
7.176890942978126e-06,1.216422193725106e-07,8.113294678225056e-05,Ciclo normal
6.471137140800876e-05,1.0968029052204874e-06,0.0007829105705412546,Ciclo normal
0.00021260863681496717,3.6035362172028333e-06,0.0024319515464204366,Ciclo normal
0.001394419363578773,2.3634226501335135e-05,0.015662314401534073,Ciclo normal
0.0008360754524939588,1.4170770381253539e-05,0.009878021749618918,Ciclo normal
0.0012092659697090426,2.0496033384899027e-05,0.014556922846909456,Ciclo normal
0.001404532621982396,2.3805637660718576e-05,0.015870168578385503,Ciclo normal
0.0008245127751985768,1.3974792799975878e-05,0.009392614222256285,Ciclo normal
0.00037275053118270175,6.317805613266132e-06,0.0042429657092998485,Ciclo normal
0.0005932320291583353,1.0054780155226022e-05,0.00693623951398535,Ciclo normal
3.589806025179517e-05,6.08441699182969e-07,0.00040594393186639934,Ciclo normal
4.178739419418537e-05,7.082609185455147e-07,0.00047546430824663713,Ciclo normal
3.939517335597903e-05,6.677148026437124e-07,0.0004508890045466826,Ciclo normal
4.3423390661205324e-05,7.359896722238191e-07,0.0004968857930868349,Ciclo normal
4.864821514164535e-05,8.245460193499211e-07,0.0005601096324037839,Ciclo normal
0.00017380623745398278,2.945868431423437e-06,0.0020380046523209355,Ciclo normal
0.00016074860446185711,2.7245526179975783e-06,0.0018427642831337235,Ciclo normal
0.00015652502296046978,2.65296649085542e-06,0.001814346093230376,Ciclo normal
0.00021004792641735281,3.5601343460568273e-06,0.0024252524417191818,Ciclo normal
6.925300999773565e-05,1.1737798304700959e-06,0.0007663336196925675,Ciclo normal
8.49017860574422e-05,1.439013323007495e-06,0.0009700408514726288,Ciclo normal
5.85374785986532e-05,9.921606542144611e-07,0.0006504081505148477,Ciclo normal
5.290382139200249e-05,8.966749388474998e-07,0.0005790165191769508,Ciclo normal
6.888263516197333e-05,1.167502290880904e-06,0.0007626248486549615,Ciclo normal
8.156941111376894e-05,1.3825323917587956e-06,0.0009258711607142196,Ciclo normal
7.166650820483585e-05,1.2146865797429806e-06,0.0008207996940499494,Ciclo normal
0.00015539811698239605,2.6338663895321364e-06,0.0017564975657743244,Ciclo normal
2.4740719876659592e-05,4.193342351976202e-07,0.00028131025133372765,Ciclo normal
6.27588029122921e-05,1.0637085239371543e-06,0.000728719177467752,Ciclo normal
6.100453467288002e-05,1.033975163947119e-06,0.0007779032494129932,Ciclo normal
2.3062930524804197e-05,3.908971275390542e-07,0.0002766642457790076,Ciclo normal
4.215473640959353e-05,7.144870577897209e-07,0.0005351925586611655,Ciclo normal
4.41469143303866e-05,7.482527852607898e-07,0.0005625670567840677,Ciclo normal
0.00010718072506157088,1.816622458670693e-06,0.001282549702845505,Ciclo normal
0.0008236330154226765,1.39598816173335e-05,0.009412223753883371,Ciclo normal
0.0010551090764486038,1.7883204685569554e-05,0.01232043367924026,Ciclo normal
0.0011036923248665736,1.870664957400972e-05,0.012535009325278549,Ciclo normal
0.0003905861293835757,6.620103887857215e-06,0.004475640429061755,Ciclo normal
0.0010331891654390666,1.751168077015367e-05,0.01198174342873487,Ciclo normal
0.00040668597912608766,6.892982697052333e-06,0.00454555463927911,Ciclo normal
0.00028014996630751956,4.748304513686772e-06,0.003292530129799661,Ciclo normal
0.0008842690525366805,1.4987611059943738e-05,0.010249806713768978,Ciclo normal
0.0009464202471395673,1.604102113795877e-05,0.010869216885743691,Ciclo normal
0.0005663105174429882,9.598483346491326e-06,0.006685947920665184,Ciclo normal
6.840410587234184e-05,1.1593916249549464e-06,0.0007817118153876771,Ciclo normal
9.538994860894227e-05,1.6167787899820724e-06,0.0010761979626482553,Ciclo normal
0.00011817974417089457,2.0030465113710944e-06,0.0013146084487522475,Ciclo normal
0.00010011698784598584,1.6968980990845057e-06,0.001126974882663342,Ciclo normal
0.0001061304447232475,1.798821097004195e-06,0.0011607733821630837,Ciclo normal
1.6324229910227266e-07,2.766818628852079e-09,2.013613315367741e-06,Ciclo normal
3.0552083490076825e-07,5.178319235606242e-09,3.71749681430946e-06,Ciclo normal
3.135776207903181e-07,5.314874928649459e-09,3.6958047886792402e-06,Ciclo normal
2.1147322648875975e-07,3.5842919743857585e-09,2.6137038308491465e-06,Ciclo normal
2.1588924070504125e-07,3.659139672966801e-09,2.570279343030016e-06,Ciclo normal
1.4379863364236884e-07,2.4372649769893026e-09,1.7299149717599763e-06,Ciclo normal
1.3977396972146334e-07,2.3690503342620905e-09,1.7561575720805908e-06,Ciclo normal
1.524299320997544e-07,2.5835581711822777e-09,1.9765716657815567e-06,Ciclo normal
1.83935938521993e-07,3.1175582800337795e-09,2.228709276772881e-06,Ciclo normal
2.409260435805901e-07,4.083492264077799e-09,2.7791089857579307e-06,Ciclo normal
1.598832799666728e-07,2.709886101130047e-09,1.8685507486749104e-06,Ciclo normal
2.0198554266181958e-07,3.4234837739291454e-09,2.4847869946163384e-06,Ciclo normal
2.7813311508984684e-07,4.714120594743167e-09,3.583545498385973e-06,Ciclo normal
1.5503309160673748e-07,2.6276795187582622e-09,2.013423421047056e-06,Ciclo normal
1.489139185713238e-07,2.523964721547861e-09,1.81949703038595e-06,Ciclo normal
1.44422142244039e-07,2.4478329193904915e-09,1.7491144945429246e-06,Ciclo normal
2.743607909416904e-07,4.6501828973167864e-09,3.0872198474392526e-06,Ciclo normal
