Sumatoria PSD,Mediana PSD,Varianza,Estado del ciclo
-9.0182487915631,-10.246726976603648,-7.953966653205659,Ciclo normal
-9.034812419761504,-10.259060931116746,-7.938585711036977,Ciclo normal
-9.068869361564325,-10.284421121927615,-7.964129134227462,Ciclo normal
-9.035567692554686,-10.259623338106861,-7.946834614843525,Ciclo normal
-9.086270085677432,-10.29737841230717,-8.008960713754858,Ciclo normal
-9.518010901953259,-10.618870274381921,-8.53748619403759,Ciclo normal
-9.519341044526756,-10.619860752933162,-8.54574588111701,Ciclo normal
-9.533781269746429,-10.63061353511383,-8.570964180040347,Ciclo normal
-9.347364976336307,-10.491800340919184,-8.363696969183911,Ciclo normal
-9.55666843945498,-10.647656257588306,-8.593998714586572,Ciclo normal
-9.498677973126913,-10.604474185041767,-8.529604521312681,Ciclo normal
-9.519486975466558,-10.619969419078226,-8.556457221588298,Ciclo normal
-9.401452549592014,-10.532076159320036,-8.412179353065918,Ciclo normal
-9.42962168426265,-10.553052048733496,-8.464527894996507,Ciclo normal
-9.32743457392985,-10.476959348470778,-8.309581259513692,Ciclo normal
-8.715578263845138,-10.02134613341846,-7.619717612263124,Ciclo normal
-8.817966862146273,-10.09758886729231,-7.718446439853133,Ciclo normal
-8.775591932247345,-10.066034763008982,-7.68026130251576,Ciclo normal
-8.72567305842457,-10.02886312991584,-7.619968819639044,Ciclo normal
-8.8238005502818,-10.101932869853613,-7.722435780922545,Ciclo normal
-8.78128780269322,-10.070276140877716,-7.6926092023418535,Ciclo normal
-8.80273998397392,-10.086250311612222,-7.694453414127503,Ciclo normal
-8.82585453209765,-10.10346234864361,-7.70940279070265,Ciclo normal
-9.147246442799124,-10.34278390015295,-8.119917222123854,Ciclo normal
-9.209531144886327,-10.3891636352967,-8.196403808203653,Ciclo normal
-9.252395707171694,-10.42108234061495,-8.236623801782619,Ciclo normal
-9.12424574766068,-10.325656642409921,-8.099855417982486,Ciclo normal
-9.132153045636896,-10.331544739687741,-8.085615080207697,Ciclo normal
-8.889282613848247,-10.150693490197973,-7.808795942652543,Ciclo normal
-8.762083160300714,-10.055975579450617,-7.664540116850682,Ciclo normal
-8.92435521358829,-10.176809981215715,-7.85177521787139,Ciclo normal
-8.948606882312546,-10.19486876482736,-7.858568585090975,Ciclo normal
-8.428170008631653,-9.807330205247542,-7.2971433398743155,Ciclo normal
-8.513085661190892,-9.870561868840545,-7.402184935703587,Ciclo normal
-8.562359538293405,-9.907253210627688,-7.425945467518185,Ciclo normal
-8.72929445399956,-10.031559769025053,-7.6201141920615205,Ciclo normal
-8.788515679098808,-10.07565831298401,-7.705139726173022,Ciclo normal
-9.082159962180933,-10.29431784636099,-8.041915353035664,Ciclo normal
-8.742103109102437,-10.041097616958584,-7.639438197674461,Ciclo normal
-8.941732674090504,-10.189749948458376,-7.900633424544684,Ciclo normal
-8.796281264285193,-10.08144088502179,-7.715590374166077,Ciclo normal
-8.83920382389379,-10.113402776798505,-7.746836101800762,Ciclo normal
-9.207209027165055,-10.387434491518885,-8.175893590589123,Ciclo normal
-9.302166532878006,-10.45814373209251,-8.299674205103209,Ciclo normal
-7.65052172043322,-9.228261535512015,-5.864629083446209,Ciclo normal
-7.630397150827093,-9.213275959484463,-5.8523895175447915,Ciclo normal
-7.8706919191833125,-9.392209253843767,-6.1273948773235585,Ciclo normal
-7.917708356988249,-9.427219613060094,-6.237313980560819,Ciclo normal
-7.862279476977104,-9.385945005914378,-6.110838590690976,Ciclo normal
-7.809204211936974,-9.346422996665114,-6.136492084187487,Ciclo normal
-8.087719265166193,-9.553816677250088,-6.394470028480303,Ciclo normal
-8.419292040475627,-9.800719307519836,-7.293508992050269,Ciclo normal
-7.956624109580936,-9.456197871380823,-6.7574220370344555,Ciclo normal
-6.944459350788024,-8.702498680469333,-5.537299643788811,Ciclo normal
-6.326062449367579,-8.24201512236948,-4.845024154102868,Ciclo normal
-5.232996242067014,-7.428073460489579,-3.571670190204665,Ciclo normal
-5.5451417324774095,-7.660509715788431,-3.9035304706229508,Ciclo normal
-5.321096674560866,-7.493676633296183,-3.625132602412056,Ciclo normal
-5.228503129415458,-7.424727705684978,-3.56200893845773,Ciclo normal
-5.553479642574864,-7.66671846353361,-3.9391181533555306,Ciclo normal
-6.015175044682598,-8.010515683098655,-4.482953936940104,Ciclo normal
-5.748156851059562,-7.811683049262891,-4.150419901623107,Ciclo normal
-7.231648150558753,-8.916351179246695,-5.912370245590166,Ciclo normal
-7.158776637828016,-8.862088077187671,-5.823778719223189,Ciclo normal
-7.187150556196082,-8.88321645464513,-5.8536383236106735,Ciclo normal
-7.14022745625231,-8.84827559967174,-5.798893753759162,Ciclo normal
-7.085047092945899,-8.80718604953264,-5.730843048875379,Ciclo normal
-6.434600430216367,-8.322836929587991,-4.9568677128123095,Ciclo normal
-6.4762427438238355,-8.353845494747524,-5.019941985025974,Ciclo normal
-6.490385845651339,-8.364377025227375,-5.029633883141206,Ciclo normal
-6.3326338675502605,-8.246908468352277,-4.846781290759916,Ciclo normal
-6.910608454309325,-8.677291921853005,-5.549813771113831,Ciclo normal
-6.807932229791519,-8.600835016139175,-5.410863817642919,Ciclo normal
-6.994196548785073,-8.739535027407582,-5.645059643431815,Ciclo normal
-7.044026754736574,-8.776640631934178,-5.71187244880705,Ciclo normal
-6.91329069456969,-8.679289227383647,-5.552647820066422,Ciclo normal
-6.828231822612223,-8.615950921103694,-5.438529820389746,Ciclo normal
-6.89344908000128,-8.66451435166236,-5.509592885663869,Ciclo normal
-6.494219231008235,-8.367231520318454,-5.049804605001912,Ciclo normal
-7.406859629953385,-9.046820797332208,-6.113917404967053,Ciclo normal
-6.959695163794499,-8.71384388845746,-5.579164739696106,Ciclo normal
-6.973763436238811,-8.724319698113009,-5.5410536825060905,Ciclo normal
-7.439388762814731,-9.071043317303813,-6.1229383841119915,Ciclo normal
-7.154553731127573,-8.858943528538447,-5.756769967409087,Ciclo normal
-7.132230002548379,-8.84232036930419,-5.728344141086637,Ciclo normal
-6.688623325490965,-8.511992738853342,-5.243037622727511,Ciclo normal
-5.554118474778576,-7.667194164033921,-3.9376478423438246,Ciclo normal
-5.404581893382331,-7.555843130060705,-3.7458879093008712,Ciclo normal
-5.377113460636211,-7.535389015415931,-3.7334583680591162,Ciclo normal
-5.9887212354050545,-7.990817098057662,-4.447423563377481,Ciclo normal
-5.417361345366635,-7.565359230908625,-3.7659204857742283,Ciclo normal
-5.965787224185498,-7.973739498184387,-4.437081080240733,Ciclo normal
-6.174884729280375,-8.129442026777749,-4.649808109100297,Ciclo normal
-5.511502949236853,-7.635460906552491,-3.8773509231874335,Ciclo normal
-5.470548491734983,-7.604964548084756,-3.8356253318454403,Ciclo normal
-5.775249919459779,-7.831857652552773,-4.175710883830097,Ciclo normal
-6.916776065034442,-8.681884576431704,-5.5381963359760125,Ciclo normal
-6.74854574741557,-8.556613418673104,-5.348863681213265,Ciclo normal
-6.638003885109611,-8.47429943866981,-5.228031229071907,Ciclo normal
-6.723738850533722,-8.538141191278696,-5.321185169287808,Ciclo normal
-6.693706108760764,-8.515777586617599,-5.303394215006971,Ciclo normal
-9.362187827684343,-10.502838042048175,-8.35178017915951,Ciclo normal
-9.155076242021975,-10.348614288698778,-8.116879481112768,Ciclo normal
-9.146270666432736,-10.342057297185676,-8.119172978361838,Ciclo normal
-9.277786503200792,-10.43998936531362,-8.25316412074911,Ciclo normal
-9.270979717132835,-10.434920754143395,-8.259556347721823,Ciclo normal
-9.402964526552996,-10.533202039183763,-8.408312824012697,Ciclo normal
-9.412040737661659,-10.539960557066683,-8.402736586552331,Ciclo normal
-9.384268749691264,-10.519280399345421,-8.358726673693111,Ciclo normal
-9.323469778751596,-10.474006999889998,-8.31363752281827,Ciclo normal
-9.23467067734643,-10.407883558824347,-8.229683378789021,Ciclo normal
-9.368898543903441,-10.507835115707985,-8.379694433767664,Ciclo normal
-9.292868250807503,-10.451219851136262,-8.272438547956265,Ciclo normal
-9.1867112514563,-10.372171009836496,-8.1312448837164,Ciclo normal
-9.378822838715674,-10.515225151376821,-8.35181548794306,Ciclo normal
-9.391762994532352,-10.524860920458567,-8.389588935826255,Ciclo normal
-9.401579552846762,-10.532170731136164,-8.404225547966865,Ciclo normal
-9.191293163447654,-10.375582888799006,-8.189198638952654,Ciclo normal
-9.22767223681881,-10.402672233921418,-8.19139237556061,Ciclo normal
-9.057164615949885,-10.275705289952004,-8.01106210769588,Ciclo normal
-9.066985422650271,-10.283018264012329,-7.994505696395655,Ciclo normal
-9.08244013976807,-10.294526478043883,-8.034067370928502,Ciclo normal
-9.093477261488482,-10.302745169992455,-8.044140171529017,Ciclo normal
-9.071869961840417,-10.286655491533281,-8.025761314826934,Ciclo normal
-9.158026654233336,-10.350811286230666,-8.088815511983114,Ciclo normal
-9.135240736054143,-10.3338439601801,-8.099784860284187,Ciclo normal
-9.182285336516271,-10.368875292655893,-8.148623137217708,Ciclo normal
-9.119223409746711,-10.32191680431632,-8.091745410979684,Ciclo normal
-9.079130748552423,-10.292062170082357,-8.027127529351619,Ciclo normal
-9.099009458254942,-10.306864669821755,-8.05367777388059,Ciclo normal
-9.434565816485863,-10.556733651738849,-8.42162116897631,Ciclo normal
-9.314129148456988,-10.467051584706264,-8.320088695857633,Ciclo normal
-8.266417802431473,-9.686882905853029,-7.056549692624679,Ciclo normal
-8.289090562125338,-9.703765968718582,-7.088857553873302,Ciclo normal
-8.340397790043912,-9.741971426175795,-7.135767670347667,Ciclo normal
-8.556255814438412,-9.90270812849601,-7.306222093312737,Ciclo normal
-8.82442119589558,-10.102395027938469,-7.638026125482183,Ciclo normal
-8.456445779975802,-9.828385499590947,-7.277884773691025,Ciclo normal
-8.839388111489104,-10.113540004872448,-7.671922595947611,Ciclo normal
-8.416918397466386,-9.798951795979342,-7.203650111634089,Ciclo normal
-8.329477802484593,-9.733839957424593,-7.097280727533686,Ciclo normal
-8.355938666261537,-9.753543797364234,-7.180101751558761,Ciclo normal
-8.71509767640604,-10.020988268375543,-7.565428691448894,Ciclo normal
-8.604253521379405,-9.938449181923245,-7.468899825502761,Ciclo normal
-8.770628091491343,-10.062338484359273,-7.638578046927238,Ciclo normal
-7.86108268285525,-9.3850538241488,-6.58979039006052,Ciclo normal
-7.971055601788781,-9.466944149733079,-6.724317823158926,Ciclo normal
-7.884119708933271,-9.402208134325315,-6.649722471892951,Ciclo normal
-7.893632335451118,-9.409291624418376,-6.649774155879158,Ciclo normal
-7.976851729362916,-9.47126018298923,-6.747915409966386,Ciclo normal
-8.593031607310758,-9.930092886253867,-7.458777935771432,Ciclo normal
-8.765900557849342,-10.05881816964305,-7.6800424635687286,Ciclo normal
-8.452287245966136,-9.82528888529894,-7.284243045312248,Ciclo normal
-8.612779993918624,-9.944798341714872,-7.49862770393604,Ciclo normal
-8.743580037648286,-10.042197398299486,-7.66928320875332,Ciclo normal
-8.603491733494689,-9.937881923542475,-7.47047207786188,Ciclo normal
-8.469004322763027,-9.837737103547335,-7.3033200525313315,Ciclo normal
-8.534157295011104,-9.886252668173503,-7.3809802393996895,Ciclo normal
-8.44622608425205,-9.820775496700524,-7.291449518672702,Ciclo normal
-8.084407641116444,-9.551350706751677,-6.8524904180093715,Ciclo normal
-8.108539692640916,-9.569320417763482,-6.880556047993942,Ciclo normal
-8.184605086239156,-9.62596181614246,-6.979995871633221,Ciclo normal
-8.339436053881657,-9.741255278148182,-7.170440668684706,Ciclo normal
-8.655770474707406,-9.976810810076737,-7.508866355398297,Ciclo normal
-8.181787491135978,-9.623863719762097,-6.933823721682712,Ciclo normal
-8.560131580746765,-9.90559418242181,-7.403205330682366,Ciclo normal
-9.12194015838197,-10.323939806394291,-7.955437379501262,Ciclo normal
-9.04984353096902,-10.270253710854004,-7.886616008475056,Ciclo normal
-9.01330858710435,-10.243048298459337,-7.861705217507772,Ciclo normal
